,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,利息收入:发放贷款及垫款:个人贷款业务(产品),78926000000.0,,,CNY
1,利息收入:发放贷款及垫款:公司贷款业务(产品),39021000000.0,,,CNY
2,利息收入:金融企业往来(产品),10933000000.0,,,CNY
3,利息收入:存放中央银行款项(产品),4002000000.0,,,CNY
4,利息收入:金融投资利息收入(产品),28363000000.0,,,CNY
5,利息收入:其他(产品),1406000000.0,,,CNY
6,非利息收入:手续费及佣金收入:银行卡业务(产品),25266000000.0,,,CNY
7,非利息收入:手续费及佣金收入:理财业务(产品),1514000000.0,,,CNY
8,非利息收入:手续费及佣金收入:代理委托业务(产品),4123000000.0,,,CNY
9,非利息收入:手续费及佣金收入:财务顾问业务(产品),1463000000.0,,,CNY
10,非利息收入:手续费及佣金收入:结算业务(产品),2477000000.0,,,CNY
11,非利息收入:手续费及佣金收入:其他(产品),4519000000.0,,,CNY
