,bz_item,bz_sales,bz_profit,bz_cost,curr_type
0,其他业务,1241350756.88,52161646.59,1189189110.29,CNY
1,建筑用材,22251353519.74,730135785.37,21521217734.37,CNY
2,工业用材,19321879126.26,278005537.65,19043873588.61,CNY
3,钢坯,1967982071.89,37501580.27,1930480491.62,CNY
4,铁合金,670840886.27,8902131.86,661938754.41,CNY
5,矿石,3660044889.06,47588394.31,3612456494.75,CNY
6,废钢,1871023058.09,43340429.42,1827682628.67,CNY
7,镍矿,1877821325.0,12369140.78,1865452184.22,CNY
8,油品,1192403008.36,9268400.14,1183134608.22,CNY
9,焦炭及烟煤,5595826562.17,81013964.9,5514812597.27,CNY
10,化工,2157244149.15,9802955.24,2147441193.91,CNY
11,水泥,445398344.81,20492077.75,424906267.06,CNY
12,汽车经销,1790103075.72,35593047.78,1754510027.94,CNY
13,汽车后服务,141373158.75,44169208.22,97203950.53,CNY
14,汽车租赁,24776757.05,24520813.44,255943.61,CNY
15,融资租赁,115734259.17,94333236.17,21401023.0,CNY
16,仓储及物流,49165383.67,-56100542.76,105265926.43,CNY
17,其他大宗,111892757.09,3830804.09,108061953.0,CNY
